番号,紙素材,料紙面積,構成物合計
11-391,コウゾ,2612.4,149
11-392,コウゾ,2650.16,62
11-393,コウゾ,2014.53,125
11-394,コウゾ,1991.25,84
11-396,コウゾ,2020.07,109
11-397,コウゾ,2141.1,60
11-398,コウゾ,2036.25,91
11-399,コウゾ,1944.04,58
11-400,コウゾ,2055.8,180
11-401,コウゾ,2115.84,24
11-402,コウゾ,1861.5,61
11-403,コウゾ,2061.76,25
11-405,コウゾ,1600.24,38
11-406,コウゾ,2044.98,99
11-407,コウゾ,2115.78,58
11-408,ガンピ,1980,93
11-409,コウゾ,2115.78,65
11-410,コウゾ,2097.6,65
11-411,コウゾ,2068.83,99
11-412,コウゾ,2038.35,48
11-413,コウゾ,2075.52,46
11-414,コウゾ,2097.54,33
11-415,コウゾ,2063.4,86
11-416,コウゾ,2071.44,78
11-417,コウゾ,2059.6,89
11-418,コウゾ,2145.03,138
11-419,コウゾ,1844.71,58
11-37551,コウゾ,1879.75,85
11-37552,コウゾ,1851.2,71
11-37553,コウゾ,1856.4,67
11-37554,コウゾ,2056.72,97
11-37555,コウゾ,2073.13,74
47-2351,コウゾ,2009.28,38
47-2352,コウゾ,2011.05,46
47-2363,コウゾ,1352.52,121
47-2365,コウゾ,973.5,200
47-2366,コウゾ,1036.07,94
47-2367,コウゾ,983.84,68
47-2368,コウゾ,948,92
47-2369,コウゾ,1052.6,117
47-2370,コウゾ,560.7,65
47-2371,コウゾ,862.64,72
47-2372,コウゾ,749.51,144
47-2373,コウゾ,810.02,92
47-2374,コウゾ,1392.22,60
47-2375,コウゾ,930.58,110
47-2376,コウゾ,1142.68,106
47-2377,コウゾ,1101.43,78
47-2378,コウゾ,1046.46,118
47-2379,コウゾ,1230.04,99
47-2380,コウゾ,1472.56,262
47-2381,コウゾ,1577.8,86
47-2382,コウゾ,819.97,64
47-2383,コウゾ,663.39,130
47-2384,コウゾ,1343.16,121
47-2385,コウゾ,1340.29,83
47-2386,コウゾ,597.06,61
47-2387,コウゾ,861.4,170
47-2388,コウゾ,709.56,62
47-2389,コウゾ,501.03,41
47-2390,コウゾ,1216.38,178
47-2394,コウゾ,546.21,48
47-2396,ガンピ,296.7,127
47-2397,コウゾ,646.8,119
47-2398,コウゾ,670.98,84
47-2399,コウゾ,984.54,118
47-2400,コウゾ,788.31,68
62-3148,ガンピ,892.8,116
62-3150,ガンピ,903.21,82
132-38720,コウゾ,1561.38,38
132-38721,コウゾ,1328.88,158
132-38722,コウゾ,1611.42,25
132-38723,コウゾ,1363.64,67
132-38724,コウゾ,1943.94,57
132-38725,コウゾ,1987.44,53
132-38726,コウゾ,1952.94,60
132-38727,コウゾ,1492.8,35
132-38728,コウゾ,1361.86,35
132-38729,コウゾ,1380.6,36
132-38730,コウゾ,1349.76,36
132-38731,コウゾ,1405.3,39
132-38732,コウゾ,1413,40
132-38733,コウゾ,1717.04,35
132-38734,コウゾ,1360.47,30
132-38735,コウゾ,1404.81,23
132-38736,コウゾ,1611.77,36
132-38737,コウゾ,1389.08,65
132-38738,コウゾ,1421.41,51
N/A,コウゾ,1357.52,28
